fixture_key	video_id	note_count	timestamped_note_count	null_timestamp_note_count
A3_LIB_01	7L0RLrfrBHE	2	0	2
A3_LIB_02	pV45eVVcuYc	2	0	2
A3_LIB_03	unFHsn0qSMA	2	0	2
A3_LIB_04	SIAGpAaLSaI	2	0	2
A3_LIB_05	wO4oDe-hEKo	2	0	2
A3_LIB_06	LykA5UTyrMs	1	0	1
A3_LIB_07	Pju2Y69Q6ew	1	0	1
A3_LIB_08	MQZ1TH0l7sk	1	0	1
A3_LIB_09	TsTr-tKCREc	1	0	1
A3_LIB_10	QJmNEqy0zV0	1	0	1
A3_LIB_11	zjUC_W7IOIc	1	0	1
A3_LIB_12	B4sy3DL4IX0	1	0	1
A3_LIB_13	L3Z4KfyCZOI	1	0	1
A3_LIB_14	YqAU7T-BoDE	1	0	1
A3_LIB_15	SdcdneSdoV4	1	0	1
