fixture_key	video_id	tag
A2_LIB_001	AkhPDT0VIeM	Java
A2_LIB_001	AkhPDT0VIeM	Backend
A2_LIB_002	UVHlHN5Ky7I	Java
A2_LIB_002	UVHlHN5Ky7I	Backend
A2_LIB_003	6AWG5AXWCzg	Java
A2_LIB_003	6AWG5AXWCzg	OOP
A2_LIB_004	xzbF3XpiHlo	Java
A2_LIB_004	xzbF3XpiHlo	Backend
A2_LIB_005	wO4oDe-hEKo	Java
A2_LIB_005	wO4oDe-hEKo	OOP
A2_LIB_006	PaOJlKbwiX0	Java
A2_LIB_006	PaOJlKbwiX0	OOP
A2_LIB_007	tmKzNlHXmR0	Java
A2_LIB_007	tmKzNlHXmR0	OOP
A2_LIB_008	YyMOnvkhXLU	Java
A2_LIB_008	YyMOnvkhXLU	OOP
A2_LIB_009	teQ5QZ2lUkE	Java
A2_LIB_009	teQ5QZ2lUkE	OOP
A2_LIB_010	LykA5UTyrMs	Java
A2_LIB_010	LykA5UTyrMs	Collections
A2_LIB_011	IhnwAcrBRTs	Java
A2_LIB_011	IhnwAcrBRTs	Collections
A2_LIB_012	pXzRhD4Vu2s	Java
A2_LIB_012	pXzRhD4Vu2s	OOP
A2_LIB_013	yMRSXK9dfp8	Java
A2_LIB_013	yMRSXK9dfp8	OOP
A2_LIB_014	vIob6cVNufw	Java
A2_LIB_014	vIob6cVNufw	OOP
A2_LIB_015	eRj_XQawcBg	Java
A2_LIB_015	eRj_XQawcBg	OOP
A2_LIB_016	xN_DF0FRx7A	Java
A2_LIB_016	xN_DF0FRx7A	Java I/O
A2_LIB_017	GgAsaNcxdwY	Java
A2_LIB_017	GgAsaNcxdwY	Java I/O
A2_LIB_018	9M0UjGVZaDY	Java
A2_LIB_018	9M0UjGVZaDY	Concurrency
A2_LIB_019	pV45eVVcuYc	Java
A2_LIB_019	pV45eVVcuYc	Backend
A2_LIB_020	ZEJ6MKuUZds	DSA
A2_LIB_020	ZEJ6MKuUZds	Collections
A2_LIB_021	Pju2Y69Q6ew	DSA
A2_LIB_021	Pju2Y69Q6ew	Sorting & Search
A2_LIB_022	0_4s88NLOmw	DSA
A2_LIB_022	0_4s88NLOmw	Collections
A2_LIB_023	sdosjI25u5c	DSA
A2_LIB_023	sdosjI25u5c	Collections
A2_LIB_024	DRcAJNhtwbY	DSA
A2_LIB_024	DRcAJNhtwbY	Collections
A2_LIB_025	MQZ1TH0l7sk	DSA
A2_LIB_025	MQZ1TH0l7sk	Collections
A2_LIB_026	XUx3iJVPdxA	DSA
A2_LIB_026	XUx3iJVPdxA	Sorting & Search
A2_LIB_027	PPyw2vp6SIU	DSA
A2_LIB_027	PPyw2vp6SIU	Sorting & Search
A2_LIB_028	mdG5TEiJTx8	DSA
A2_LIB_028	mdG5TEiJTx8	Collections
A2_LIB_029	efpaZznImN4	DSA
A2_LIB_029	efpaZznImN4	Collections
A2_LIB_030	pGa4PfLLHx8	DSA
A2_LIB_030	pGa4PfLLHx8	Collections
A2_LIB_031	DMrd-RnLeJI	DSA
A2_LIB_031	DMrd-RnLeJI	Graph
A2_LIB_032	KXsfp8YiucE	DSA
A2_LIB_032	KXsfp8YiucE	Graph
A2_LIB_033	W8vJ-yOtSbE	JavaScript
A2_LIB_033	W8vJ-yOtSbE	Async JavaScript
A2_LIB_034	TsTr-tKCREc	JavaScript
A2_LIB_034	TsTr-tKCREc	DOM
A2_LIB_035	AA3WWZAMv_0	JavaScript
A2_LIB_035	AA3WWZAMv_0	DOM
A2_LIB_036	U624VLOxiTo	JavaScript
A2_LIB_036	U624VLOxiTo	DOM
A2_LIB_037	Uph14HYkgEQ	JavaScript
A2_LIB_037	Uph14HYkgEQ	ES6+
A2_LIB_038	QJmNEqy0zV0	JavaScript
A2_LIB_038	QJmNEqy0zV0	Async JavaScript
A2_LIB_039	_4F8ihblZFU	JavaScript
A2_LIB_039	_4F8ihblZFU	Async JavaScript
A2_LIB_040	9QeNLypIiZs	JavaScript
A2_LIB_040	9QeNLypIiZs	ES6+
A2_LIB_041	J1m4vLDUhEI	JavaScript
A2_LIB_041	J1m4vLDUhEI	ES6+
A2_LIB_042	08lWi4T2Bfg	JavaScript
A2_LIB_042	08lWi4T2Bfg	ES6+
A2_LIB_043	8KkM6JFjJZA	JavaScript
A2_LIB_043	8KkM6JFjJZA	Async JavaScript
A2_LIB_044	TRjVXmk8q8I	JavaScript
A2_LIB_044	TRjVXmk8q8I	Async JavaScript
A2_LIB_045	vAecGPWxzFE	JavaScript
A2_LIB_045	vAecGPWxzFE	ES6+
A2_LIB_046	unFHsn0qSMA	React
A2_LIB_046	unFHsn0qSMA	React Hooks
A2_LIB_047	_D16z1kL0wo	React
A2_LIB_047	_D16z1kL0wo	React Hooks
A2_LIB_048	zjUC_W7IOIc	React
A2_LIB_048	zjUC_W7IOIc	React Hooks
A2_LIB_049	4a1_is2OdLY	React
A2_LIB_049	4a1_is2OdLY	React Hooks
A2_LIB_050	WF3pUtvC01M	React
A2_LIB_050	WF3pUtvC01M	React Hooks
A2_LIB_051	QbC4LwsD1rw	React
A2_LIB_051	QbC4LwsD1rw	React Hooks
A2_LIB_052	8Ee__cUapdg	React
A2_LIB_052	8Ee__cUapdg	React Hooks
A2_LIB_053	EGVhrE6VuNM	React
A2_LIB_053	EGVhrE6VuNM	React Hooks
A2_LIB_054	quS95gJdxsc	React
A2_LIB_054	quS95gJdxsc	React Hooks
A2_LIB_055	kp4fuB-0TBw	React
A2_LIB_055	kp4fuB-0TBw	React Hooks
A2_LIB_056	Hfb76A34mBc	Backend
A2_LIB_056	Hfb76A34mBc	Node.js
A2_LIB_057	5Pb-z9DQjDw	Backend
A2_LIB_057	5Pb-z9DQjDw	Express.js
A2_LIB_058	Tw8Vyz7dVgc	Backend
A2_LIB_058	Tw8Vyz7dVgc	MVC
A2_LIB_059	B4sy3DL4IX0	Backend
A2_LIB_059	B4sy3DL4IX0	Deployment
A2_LIB_060	L3Z4KfyCZOI	Backend
A2_LIB_060	L3Z4KfyCZOI	REST API
A2_LIB_061	AAAKXp2wa-0	Backend
A2_LIB_061	AAAKXp2wa-0	React
A2_LIB_062	rgSgSe1QUqU	Backend
A2_LIB_062	rgSgSe1QUqU	React
A2_LIB_063	YqAU7T-BoDE	Backend
A2_LIB_063	YqAU7T-BoDE	REST API
A2_LIB_064	PLY0jr90DmI	Backend
A2_LIB_064	PLY0jr90DmI	Node.js
A2_LIB_065	pgZev-Y15EM	Backend
A2_LIB_065	pgZev-Y15EM	REST API
A2_LIB_066	t_cedTldfjs	Backend
A2_LIB_066	t_cedTldfjs	Sequelize
A2_LIB_067	-cg9dq-Jq2M	Backend
A2_LIB_067	-cg9dq-Jq2M	Node.js
