category	playlist_title	playlist_index	video_id	title	url	source_line
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	01	7L0RLrfrBHE	[FULL] Khóa Học Java Cơ Bản Từ A tới Z cho Beginner | Học Java Từ Số 0 với Hỏi Dân IT	https://www.youtube.com/watch?v=7L0RLrfrBHE	1
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	15	syo6oncqRt8	#1. What is Java? | Basic Java Course From A to Z for Beginners	https://www.youtube.com/watch?v=syo6oncqRt8	15
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	19	AkhPDT0VIeM	#5. Variables | Java Programming Course for Beginners from A to Z	https://www.youtube.com/watch?v=AkhPDT0VIeM	19
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	24	UVHlHN5Ky7I	#10. Java Data Types (Kiểu dữ liệu) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=UVHlHN5Ky7I	24
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	26	8RO1f4jAmCk	#12. Java If...Else | Basic Java Course from A to Z for Beginners	https://www.youtube.com/watch?v=8RO1f4jAmCk	26
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	31	6AWG5AXWCzg	#16. Loops | Java Basic Course From A to Z for Beginners	https://www.youtube.com/watch?v=6AWG5AXWCzg	31
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	32	xzbF3XpiHlo	#17. Array Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=xzbF3XpiHlo	32
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	36	wO4oDe-hEKo	#21. What is Object-Oriented Programming (OOP)? | Java Basics A-Z Course for Beginners	https://www.youtube.com/watch?v=wO4oDe-hEKo	36
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	37	PaOJlKbwiX0	#22. Concepts of Class and Object | Java Basics Course From A to Z for Beginners	https://www.youtube.com/watch?v=PaOJlKbwiX0	37
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	39	ZxibV3JKIjw	#24. Class Attributes | Java Basic Course from A to Z for Beginners	https://www.youtube.com/watch?v=ZxibV3JKIjw	39
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	40	J19nSnURweo	#25. Class Methods | Java Programming Course from A to Z for Beginners	https://www.youtube.com/watch?v=J19nSnURweo	40
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	41	tmKzNlHXmR0	#26. Defining a Constructor | Basic Java Course from A to Z for Beginners	https://www.youtube.com/watch?v=tmKzNlHXmR0	41
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	42	YyMOnvkhXLU	#27. Access Modifier (private/public/protected) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=YyMOnvkhXLU	42
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	43	teQ5QZ2lUkE	#28. Encapsulation Java | Basic Java Course From A to Z for Beginners	https://www.youtube.com/watch?v=teQ5QZ2lUkE	43
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	47	WCJq8JQRMNI	#32. Java Autoboxing/Unboxing (Object wrapper class) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	https://www.youtube.com/watch?v=WCJq8JQRMNI	47
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	48	LykA5UTyrMs	#33. What is an ArrayList? | Java Fundamentals Course From A to Z for Beginners	https://www.youtube.com/watch?v=LykA5UTyrMs	48
Java Core	Tự Học Java Core Từ A tới Z Dành cho Beginners | Hỏi Dân IT	49	IhnwAcrBRTs	#34. Java Generics (Basic) | Java Programming Course from A to Z for Beginners	https://www.youtube.com/watch?v=IhnwAcrBRTs	49
