"FixtureKey"	"Title"	"OriginalUrl"	"StatusCode"	"ContentType"	"FinalUrl"	"Passed"	"CurlExit"	"Error"
"A2-IMG-001"	"Database Normalization Overview"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Database_normalization.svg"	"200"	"image/svg+xml"	"https://upload.wikimedia.org/wikipedia/commons/7/7b/Database_normalization.svg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"True"	"0"	""
"A2-IMG-002"	"OSI Model Layers"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Osi-model.png"	"200"	"image/png"	"https://upload.wikimedia.org/wikipedia/commons/2/2b/Osi-model.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"True"	"0"	""
"A2-IMG-003"	"Network Topology Diagram"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Network_topology_diagram.png"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/4/41/Network_topology_diagram.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-004"	"Entity Relationship Examples"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Entity_Relationship_Diagram_Examples.png"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/0/04/Entity_Relationship_Diagram_Examples.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-005"	"MVC Architecture Diagram"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Mvc-diagram.png"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/1/19/Mvc-diagram.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-006"	"Cloud Computing Overview"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Cloud_computing.png"	"200"	"image/png"	"https://upload.wikimedia.org/wikipedia/commons/9/9c/Cloud_computing.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"True"	"0"	""
"A2-IMG-007"	"Quicksort Execution Diagram"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Quicksort-diagram.svg"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/a/af/Quicksort-diagram.svg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-008"	"Dijkstra Algorithm Visualization"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Dijkstra_Animation.gif"	"200"	"image/gif"	"https://upload.wikimedia.org/wikipedia/commons/5/57/Dijkstra_Animation.gif?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"True"	"0"	""
"A2-IMG-009"	"UML Class Diagram Example"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/UML_class_diagram_example.svg"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/3/34/UML_class_diagram_example.svg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-010"	"Scrum Process Overview"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Processus_Scrum.svg"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/f/f6/Processus_Scrum.svg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-011"	"TCP/IP Model"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/TCP-IP_Model_-_en.png"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/e/e5/TCP-IP_Model_-_en.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-012"	"Docker Architecture"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/ArquiteturaDocker.png"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/b/b4/ArquiteturaDocker.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-013"	"Linked List Diagram"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/LinkedList.png"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/e/e0/LinkedList.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-014"	"Client-Server Model"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Client-server_model.svg"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/6/69/Client-server_model.svg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-015"	"Merge Sort Algorithm"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Merge_sort_algorithm_diagram.svg"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/e/e6/Merge_sort_algorithm_diagram.svg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-016"	"Queue Data Structure"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Data_Queue.svg"	"200"	"image/svg+xml"	"https://upload.wikimedia.org/wikipedia/commons/5/52/Data_Queue.svg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"True"	"0"	""
"A2-IMG-017"	"Stack Data Structure"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Stack_(data_structure).svg"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/0/06/Stack_%28data_structure%29.svg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-018"	"Database Normal Forms Diagram"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/NormalFormDiagram.png"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/7/75/NormalFormDiagram.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-019"	"Network Topologies Overview"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/NetworkTopologies.svg"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/9/97/NetworkTopologies.svg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
"A2-IMG-020"	"Cloud Computing Stack"	"https://commons.wikimedia.org/wiki/Special:Redirect/file/Cloud_Computing_Stack.svg"	"429"	"text/html; charset=utf-8"	"https://upload.wikimedia.org/wikipedia/commons/3/3a/Cloud_Computing_Stack.svg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original"	"False"	"0"	""
